# name,# catalog-job 2015-10-28
# SQL,"# SELECT id, ra2000, decl2000, mag_i, redshift
# FROM external_catalog.specz_201510
# WHERE redshift > 0.1
# LIMIT 1000
# ;
# "
#
# id,ra2000,decl2000,mag_i,redshift
2,50.787051,0.884647,17.489,0.30902
32,57.317534,0.057781,17.712,0.24562
33,57.357554,0.025731,19.248,0.32615
34,57.501411,0.058528,18.483,0.24572
35,57.788335,0.017537,17.673,0.23491
36,57.851212,0.028721,17.623,0.24648
37,57.950837,0.071275,19.288,0.16716
39,58.387424,0.119536,17.865,0.17068
61,58.038353,0.117747,19.106,0.23582
62,58.058022,0.176163,18.171,0.24006
63,58.137205,0.108405,18.099,0.24859
64,58.142863,0.166763,18.226,0.22345
65,58.212538,0.154844,19.147,0.38107
66,58.38525,0.029533,18.309,0.2473
67,58.326843,0.201048,18.491,0.21628
68,58.437634,0.028062,18.258,0.19813
69,58.60107,0.181389,18.743,0.18295
70,58.68808,0.174951,17.966,0.16885
72,58.755112,0.166037,18.197,0.1404
73,58.923336,0.051245,19.397,0.31739
74,36.7913322,0.630714,17.923,0.13541
78,46.107689,1.047074,16.279,0.15317
79,50.831389,0.895013,16.762,0.10313
81,50.78682,1.026578,16.96,0.13802
82,55.652977,0.888308,18.867,0.23542
83,55.626792,1.013399,18.777,0.2468
84,55.58333,0.889779,18.525,0.2347
85,55.797292,1.008168,18.703,0.22127
86,55.837644,0.873023,17.889,0.23222
87,55.788186,0.91764,18.727,0.23657
88,56.014224,0.915558,18.067,0.30905
89,56.50645,1.029581,19.186,0.29314
90,56.536719,0.858188,18.902,0.31647
91,54.928533,1.271884,16.636,0.13179
102,55.090664,0.927322,18.057,0.2532
103,55.029694,0.992229,18.239,0.26727
106,55.473528,0.940166,16.829,0.19376
107,55.510055,0.98607,17.109,0.19249
126,57.089457,0.136467,17.549,0.16669
127,57.280175,0.078644,17.899,0.16006
128,57.401417,0.110888,19.228,0.31694
129,57.458447,0.052274,16.706,0.12978
130,57.488434,0.075598,18.232,0.13338
131,57.391201,0.22402,19.162,0.24658
132,57.480087,0.10586,16.978,0.1321
133,57.487028,0.099158,18.144,0.32729
134,57.380072,0.130205,18.888,0.1732
136,57.509647,0.067161,17.249,0.13062
137,57.508533,0.034535,17.662,0.13535
138,57.605278,0.051322,17.772,0.13185
139,57.607098,0.177145,18.059,0.13217
140,57.613948,0.082052,18.191,0.13518
141,57.674976,0.212522,18.517,0.15881
142,57.664383,0.168079,18.571,0.12522
143,57.722855,0.063713,18.921,0.1322
144,57.910313,0.140545,18.153,0.17235
146,58.153249,0.19076,16.725,0.15069
148,58.386764,0.061361,16.52,0.17065
150,58.362509,0.056989,16.855,0.16983
151,57.475231,0.058292,17.219,0.13558
161,46.109388,1.04591,15.002,0.15645
163,56.706003,0.909855,17.209,0.22858
165,56.661953,0.981229,17.826,0.21681
166,56.654064,1.024221,18.993,0.33129
170,57.469799,0.986482,18.156,0.16473
171,57.618385,0.99148,17.881,0.20027
172,57.772996,0.986495,17.516,0.21283
173,57.655547,1.008526,18.044,0.18279
175,57.887753,1.03254,18.545,0.16449
183,57.766,0.124114,16.87,0.12497
184,57.790602,0.121129,17.175,0.17252
