#Table1
bestObjID,ra,dec,z,class,z1,velDisp,velDispErr,survey
1237655123930906774,173.89577,3.8233017,0.2817722,GALAXY,0.2817722,245.9243,16.01241,boss
1237654604258083498,173.98415,4.0056938,0.5882602,GALAXY,0.5882602,285.0847,31.29743,boss
1237655124467778299,174.01646,4.0774809,0.644595,GALAXY,0.644595,275.0083,58.3654,boss
1237655124467778267,173.954,4.1368112,0.7131816,GALAXY,0.7131816,251.942,44.93248,boss
1237655124467712555,173.877,4.1641529,0.3089471,GALAXY,0.3089471,184.2861,40.46421,boss
1237655124467516054,173.27808,4.232194,0,GALAXY,0,0,-7,boss
1237655124467712092,173.8283,4.1887985,0.2660364,GALAXY,0.2660364,236.2887,12.59023,boss
1237654604794889270,173.85293,4.3139204,0.5311428,GALAXY,0.5311428,183.4894,34.40264,boss
1237654604794954296,174.02109,4.3106237,0.3384641,GALAXY,0.3384641,189.4129,26.3788,boss
1237654604794953978,173.99826,4.3794798,0.4274835,GALAXY,0.4274835,187.625,23.0892,boss
1237655123930775795,173.6499,3.7840436,0.360644,GALAXY,0.360644,172.1379,27.36943,boss
1237655123930841363,173.77955,3.7134244,0.3374389,GALAXY,0.3374389,280.9113,19.99531,boss
1237654604257951973,173.74121,3.9840311,0.3114328,GALAXY,0.3114328,225.877,15.03524,boss
1237655124467712181,173.81058,4.0754168,0.273394,GALAXY,0.273394,91.26429,25.71879,boss
1237654604794888606,173.82115,4.3618121,0.4376657,GALAXY,0.4376657,249.2605,31.208,boss
1237655124467646657,173.62396,4.0821273,0.2797205,GALAXY,0.2797205,215.9605,13.05307,boss
1237654604794823087,173.68978,4.3408205,0.5697601,GALAXY,0.5697601,242.7707,34.02331,boss
1237654604794822951,173.71784,4.3234688,0.4740062,GALAXY,0.4740062,273.0885,36.55293,boss
1237654604794888394,173.82468,4.318987,0.312491,GALAXY,0.312491,256.6697,20.15971,boss
1237651755081204395,173.51592,3.3530114,0.5266709,GALAXY,0.5266709,223.6155,40.33863,boss
1237655123930841288,173.81709,3.7355732,0.5222757,GALAXY,0.5222757,182.6246,38.2911,boss
0,173.62783,3.3362528,0.9978095,GALAXY,0.9978095,0,0,boss
1237651755081335064,173.72638,3.4031876,0.6895797,GALAXY,0.6895797,13.07013,76.40736,boss
1237651755081204554,173.50121,3.3010224,0.5422116,GALAXY,0.5422116,165.4478,37.82284,boss
1237654031403319891,173.8037,3.6045354,0.6861174,GALAXY,0.6861174,213.7036,47.12511,boss
1237651755081269603,173.56959,3.409372,0.4203222,GALAXY,0.4203222,267.7906,26.61589,boss
1237654031403254221,173.72937,3.6407322,0.4618599,GALAXY,0.4618599,155.0514,23.4503,boss
1237651755081335014,173.6969,3.4346609,0.4195551,GALAXY,0.4195551,211.6331,20.49851,boss
1237654031403254145,173.69789,3.5571091,0.5892581,GALAXY,0.5892581,128.5411,31.80343,boss
1237654031403188645,173.54087,3.5782224,0.4643025,GALAXY,0.4643025,215.4523,36.84006,boss
1237654031403254065,173.64272,3.5485332,0.5910865,GALAXY,0.5910865,235.8147,31.42545,boss
1237655123930710709,173.57667,3.6645276,0.4649906,GALAXY,0.4649906,212.9615,35.73691,boss
1237654031403188879,173.53774,3.5065115,0.5870199,GALAXY,0.5870199,200.5883,27.50558,boss
1237655123930841399,173.79686,3.6929954,0.5880966,GALAXY,0.5880966,276.7168,31.19762,boss
1237655123930710267,173.56632,3.7063859,0.1814831,GALAXY,0.1814831,46.6842,51.25415,boss
1237655123930710592,173.48157,3.7403717,0.5432633,GALAXY,0.5432633,198.9491,24.71872,boss
1237655123930710381,173.50609,3.7304946,0.3657286,GALAXY,0.3657286,209.4549,23.23175,boss
1237655123930710604,173.49093,3.7732735,0.572271,GALAXY,0.572271,171.2836,30.2913,boss
1237654606404780273,172.24741,5.561338,0.5282905,GALAXY,0.5282905,182.4888,26.00166,boss
1237654606404780561,172.19801,5.7032488,0.4361494,GALAXY,0.4361494,235.6455,21.22606,boss
1237654606404780214,172.23126,5.5319971,0.1521279,GALAXY,0.1521279,253.0336,8.16284,boss
1237654606404780665,172.23358,5.6136698,0.1511102,GALAXY,0.1511102,55.37178,26.22598,boss
1237655125540733510,172.18607,5.0427327,0.600288,GALAXY,0.600288,57.77103,53.76823,boss
1237655126077669903,172.27562,5.4234225,0.8075925,GALAXY,0.8075925,136.5515,48.08905,boss
1237655126077604553,172.19928,5.4951458,0.4017255,GALAXY,0.4017255,118.3135,53.5945,boss
1237655126077669922,172.28401,5.4417358,0.4642845,GALAXY,0.4642845,162.7945,41.50946,boss
1237654605867909858,172.2456,5.1758422,0.6341901,GALAXY,0.6341901,247.7849,46.92708,boss
1237654606404780624,172.22268,5.6313928,0.4656137,GALAXY,0.4656137,261.1702,27.50457,boss
1237655125540798681,172.24171,5.0447093,0.3185033,GALAXY,0.3185033,0,39.036,boss
1237655125540799181,172.23137,5.0688901,0.6273819,GALAXY,0.6273819,255.6495,40.03129,boss
1237655125540733553,172.20303,5.0614755,0.3329163,GALAXY,0.3329163,138.7171,20.07542,boss
1237655126077604538,172.19805,5.3484046,0.5732767,GALAXY,0.5732767,282.5284,51.42595,boss
1237655126077669562,172.22548,5.3126278,0.2289538,GALAXY,0.2289538,236.5407,9.854881,boss
1237654605330973510,172.02482,4.7884136,0.5246327,GALAXY,0.5246327,233.2521,51.57937,boss
1237655125540733217,172.06736,4.9055443,0.362131,GALAXY,0.362131,251.8809,18.99586,boss
1237655125003796845,171.99872,4.6308719,0.5808509,GALAXY,0.5808509,192.5592,37.54586,boss
1237654605330972888,172.10332,4.8501981,0.5619907,GALAXY,0.5619907,106.979,20.7801,boss
1237655125540733252,172.07601,4.9659706,0.5430049,GALAXY,0.5430049,311.2828,37.52778,boss
0,172.01841,4.8671567,0.7251869,GALAXY,0.7251869,333.3955,225.7106,boss
1237654605330907670,171.93966,4.6694111,0.4116247,GALAXY,0.4116247,0,78.25856,boss
1237654605330973196,172.07062,4.8193316,0.4627388,GALAXY,0.4627388,224.0464,26.77098,boss
1237654605330973133,172.04798,4.8739582,0.412601,GALAXY,0.412601,239.4958,27.60159,boss
1237654605330907647,171.93079,4.723896,0.4686951,GALAXY,0.4686951,144.9956,18.08603,boss
1237655125003796891,172.0211,4.5972744,0.5593968,GALAXY,0.5593968,118.8211,46.01103,boss
1237655125003796741,171.93635,4.503607,0.5825583,GALAXY,0.5825583,212.6874,44.35896,boss
1237655125003796920,172.03691,4.6071584,0.4130765,GALAXY,0.4130765,274.3934,53.5945,boss
1237654605330908040,171.95114,4.7594071,0.5248713,GALAXY,0.5248713,182.2176,36.59115,boss
1237655125003797035,171.97308,4.4957946,0.5629225,GALAXY,0.5629225,138.5185,52.048,boss
1237654604794036692,171.92519,4.3784503,0.5265753,GALAXY,0.5265753,204.723,34.04063,boss
1237654605867975270,172.37066,5.3008894,0.5199236,GALAXY,0.5199236,241.2267,47.069,boss
